|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       4 |        5800 |       03:56:46 |         1.05 |              |       0.5537 |              |      1.0000e-06 |
|       4 |        5850 |       03:58:21 |         0.87 |              |       0.3811 |              |      1.0000e-06 |
|       4 |        5900 |       03:59:56 |         1.20 |              |       0.7152 |              |      1.0000e-06 |
|       4 |        5950 |       04:01:30 |         1.00 |              |       0.4953 |              |      1.0000e-06 |
|       4 |        6000 |       04:07:23 |         1.28 |         1.31 |       0.8129 |       0.8527 |      1.0000e-06 |
|       4 |        6050 |       04:08:59 |         1.30 |              |       0.8408 |              |      1.0000e-06 |
|       4 |        6100 |       04:10:33 |         1.62 |              |       1.3120 |              |      1.0000e-06 |
|       4 |        6150 |       04:12:08 |         1.79 |              |       1.5966 |              |      1.0000e-06 |
|       4 |        6200 |       04:13:42 |         1.32 |              |       0.8691 |              |      1.0000e-06 |
|       4 |        6250 |       04:15:16 |         1.24 |              |       0.7709 |              |      1.0000e-06 |
|       4 |        6300 |       04:16:51 |         1.70 |              |       1.4396 |              |      1.0000e-06 |
|       4 |        6350 |       04:18:26 |         1.39 |              |       0.9695 |              |      1.0000e-06 |
|       4 |        6400 |       04:19:59 |         1.48 |              |       1.0907 |              |      1.0000e-06 |
|       4 |        6450 |       04:21:33 |         1.16 |              |       0.6673 |              |      1.0000e-06 |
|       4 |        6500 |       04:23:06 |         1.46 |              |       1.0618 |              |      1.0000e-06 |
|       4 |        6550 |       04:24:39 |         1.50 |              |       1.1254 |              |      1.0000e-06 |
|       4 |        6600 |       04:30:31 |         0.94 |         1.30 |       0.4372 |       0.8498 |      1.0000e-06 |
|       4 |        6650 |       04:32:06 |         1.45 |              |       1.0565 |              |      1.0000e-06 |
|       4 |        6700 |       04:33:39 |         1.13 |              |       0.6379 |              |      1.0000e-06 |
|       4 |        6750 |       04:35:12 |         1.06 |              |       0.5665 |              |      1.0000e-06 |
|       4 |        6800 |       04:36:45 |         0.95 |              |       0.4505 |              |      1.0000e-06 |
|       4 |        6850 |       04:38:18 |         1.01 |              |       0.5146 |              |      1.0000e-06 |
|       4 |        6900 |       04:39:52 |         1.45 |              |       1.0582 |              |      1.0000e-06 |
|       4 |        6950 |       04:41:25 |         1.28 |              |       0.8154 |              |      1.0000e-06 |
|       4 |        7000 |       04:42:58 |         0.91 |              |       0.4140 |              |      1.0000e-06 |
|       4 |        7050 |       04:44:32 |         1.54 |              |       1.1826 |              |      1.0000e-06 |
|       4 |        7100 |       04:46:06 |         1.41 |              |       0.9884 |              |      1.0000e-06 |
|       4 |        7150 |       04:47:39 |         0.98 |              |       0.4832 |              |      1.0000e-06 |
|       4 |        7200 |       04:53:30 |         1.36 |         1.31 |       0.9278 |       0.8574 |      1.0000e-06 |
|       5 |        7250 |       04:55:07 |         1.16 |              |       0.6771 |              |      1.0000e-07 |
|       5 |        7300 |       04:56:41 |         1.12 |              |       0.6315 |              |      1.0000e-07 |
|       5 |        7350 |       04:58:15 |         0.85 |              |       0.3604 |              |      1.0000e-07 |
|       5 |        7400 |       04:59:49 |         1.56 |              |       1.2181 |              |      1.0000e-07 |
|       5 |        7450 |       05:01:23 |         1.50 |              |       1.1276 |              |      1.0000e-07 |
